objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,vimeoid,CONTENTdm number
tributefence2636,2589.jpg,,Granite Mountain Hotshot Uniform,image/jpg,"Gold, long-sleeved, button-down shirt with olive green uniform pants. This uniform is part of the personal effects of Clayton Whitted, a fallen Hotshot.","Whitted, Kristy",Prescott Fire Department Station 7,2014-10-13,yes,single-page; uniform,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Clothing and dress,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,Miscellaneous,DSCN2589.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/2636,,2636
tributefence4021,4202.jpg,,Dress Uniform Hat from Brazil,image/jpg,"Dress hat from Brazilian firefighter's family. A two-sided note taped within the hat reads ""Hello, My name is Catherine and I am from Brazil. I am so sorry for your loss. This hat is for you to know that, even miles away from your house, you have someone thinking and praying for you, this used to belong to my uncle's brother and he and all my family send their best wishes for you. I know that a hat doesn't help with the pain, but I wish the prayers will. God comfort you and help all of you to pass througt (through) these hard moments. Best regards from Brazil. Catherine, Rosana, Carlos, Junior, Samuel, Suely, Alexandro, Simone, Agnes, Fernando, Leandro (Fireman) and all the family too."" A hand drawn butterfly and heart follow. Detail of patch illustrates the embellishments of the patch on this dress hat.",Unknown,Prescott Fire Department Station 7,2017-07-19,yes,single-page; hat,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Clothing and dress,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.10.356AB,index.cpd,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/4021,,4021
tributefence318,312.jpg,,American Flag from Bobby Woyjeck,image/jpg,"Medium-sized cloth American flag on wooden pole with gold colored finial. Writing in upper white stripe of flag reads ""To my older brother, my best friend, and my hero, Rest easy Kevin ... you deserve nothing less. --Your little brother, Bobby."" Writing in the second white stripe of the flag reads ""Granite Mountain Hotshots, 'True Heroes.'""","Woyjeck, Bobby",Prescott Fire Department Station 7,2014-06-01,yes,single-page; u.s. flags,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Flags--United States,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.08.79,Flag_US Kevinbrother(8.79)DSCN2000.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/318,,318
tributefence44,45.jpg,,Polychrome Acrylic Painting of a Hotshot,image/jpg,"Polychrome acrylic painting of a Hotshot overlooking Thumb Butte and a ""missing goose"" flying formation appears in sky. The artwork was provided by the mother of a wildland firefighter who was killed in a work-related accident and a personal letter accompanies this item.",Unknown,Prescott Fire Department Station 7,2014-05-09,yes,single-page; original artwork,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Painting,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,"2013.27.166 A,B",Painting_T Butte (27.166) DSCN4713.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/44,,44
tributefence242,132.jpg,,Captain Crossfit T-Shirt,image/jpg,"Bright blue t-shirt with large black letters which read ""TEAM ILL."" The letters ""IL"" are underscored. Several handwritten messages include ""HotShots 19,"" ""Hero Wod CAPTAIN CROSSFIT MEMORIAL EVENT,"" ""Nick Saladino aka 'BEAUTY,'"" ""Vince and Anisa Aver 'BAZUKA,'"" ""Tonia Barlow T-BONE,'"" ""Gary Lewis 'Belly,'"" ""Becky Hull aka 'BEAST,'"" ""KIMMIE - THE MACHINE,"" ""Mike 'Hillbilly' Hilbe,"" and ""Wayne Stark.""",Unknown,Prescott Fire Department Station 7,2014-05-28,yes,single-page; t-shirts,"Forest fires--Arizona--Yarnell--2013; Wildland firefighters; Granite Mountain Interagency Hotshots--Prescott, Arizona; Clothing and dress",Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.11.36,Team Ill.DSCN0875.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/242,,242
tributefence790,749.jpg,,Double Fire Axes Engraved and Entwined in Paracord,image/jpg,"Two fire axes entwined together with black, yellow, red, and white paracord. Each ax handle shares the etched names of the fallen Hotshots and the right ax reads ""Fallen but not forgotten"" after the final name. The other side of the ax handle bears ""The Hotshot Prayer"" in etching. ""GRANITE MOUNTAIN HOTSHOT CREW"" in red cording is woven into the black cording with yellow and white cording at all ends. Fire department coins are attached to the bottom of each ax. This item was delivered to a Prescott fire station.",Unknown,Prescott Fire Department Station 7,2014-07-21,yes,single-page; original artwork,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Fire axes,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.27.158,DSC_0801.JPG (Equipment_Pulaskis).JPG,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/790,,790
tributefence791,750.jpg,,Photograph and Personal Message from Grant McKee,image/jpg,"Photograph of Grant McKee in firefighter apparel holding a fire ax. Attached is a message he wrote to his mother, Marcia. The photograph and message were heavily damaged due to monsoons while attached to the Tribute Fence.","McKee, Grant",Prescott Fire Department Station 7,2014-07-21,yes,single-page; photographs,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Photography,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.12.176,Photo_McKee.(12.176)DSCN5876.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/791,,791
tributefence781,740.jpg,,Prayer Flag,image/jpg,"White prayer flag with brown yarn attached at top corners. Black lettering reads ""SEMPER FI. Bill, This one is for YOU!!"" Two hand drawn footprints follow the message.",Unknown,Prescott Fire Department Station 7,2014-07-21,yes,single-page; prayer flags,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Prayer flags,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.03.66,DSCN4191 (1).jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/781,,781
tributefence701,https://vimeo.com/97774361,,Granite Mountain Hotshots,video/mpeg,"Photographed and edited by Tribute Fence Preservation Project Co-director, Dottie Morris, the film is a collection of photographs beginning June 18, 2013 as the Granite Mountain Hotshots fought the Doce Fire, into the summer of 2013 and the creation of the Tribute Fence at Station 7 in Prescott, Arizona. ""Waiting"" composed by Joe Scott and performed by Acoustic Eidolon. ""Change in the Wind"" composed and performed by Ered Matthew.","Morris, Dottie",,2014-06-10,yes,vimeo video,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Memorials,"Prescott, AZ",,,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,192_168_240_66_2014-6-10_145451294-6856606941.url,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;MovingImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/701,97774361,701
tributefence636,637.jpg,,Tribute Fence Section 1b,image/jpg,"Tribute Fence at Fire Station 7, Prescott, Arizona. Photograph taken September 10, 2013.",Tribute Fence Preservation Project,Prescott Fire Department Station 7,2014-06-04,yes,single-page; photographs,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Memorials--Arizona--Prescott,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,Section 1b.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/636,,636
tributefence676,677.jpg,,Tribute Fence Section 5a,application/pdf,"Tribute Fence at Fire Station 7, Prescott, Arizona. Photograph taken September 10, 2013.",Tribute Fence Preservation Project,Prescott Fire Department Station 7,2014-06-04,yes,single-page; photographs,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Memorials--Arizona--Prescott,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,Section 5a.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/676,,676
tributefence690,691.jpg,,Tribute Fence Section 8c,image/jpg,"Tribute Fence at Fire Station 7, Prescott, Arizona. Photograph taken September 10, 2013.",Tribute Fence Preservation Project,Prescott Fire Department Station 7,2014-06-04,yes,single-page; photographs,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Memorials--Arizona--Prescott,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,Section 8c.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/690,,690
